Distance from Kottas,,,,,Cluster +150/-20,Cluster +150/-10,Cluster +200/0,,AccumulationI,AccumulationII,AccumulationIII,AccumulationIV,Schneedichte,,,mean/without,mean/cluster_1,mean/cluster_2mean/cluster_3,
(km),DiffSnow1,DiffSnow2,DiffSnow3,DiffSnowMean_95-97,,,,,,,,,,Time/a,,,,,
0,nan,61,41,51,51,51,51,,202.575,202.575,202.575,202.575,370,0.931506849,,,,,
0.5,nan,nan,nan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,nan,nan,nan,nan,370,0.931506849,,,,,
1,26,nan,nan,26,26,26,26,,103.2735294,103.2735294,103.2735294,103.2735294,370,0.931506849,,,,,
1.5,36,37,nan,36.5,36.5,36.5,36.5,,144.9801471,144.9801471,144.9801471,144.9801471,370,0.931506849,,,,,
2,75,68,nan,71.5,71.5,71.5,71.5,,284.0022059,284.0022059,284.0022059,284.0022059,370,0.931506849,,,,,
2.5,71,77,nan,74,74,74,74,,293.9323529,293.9323529,293.9323529,293.9323529,370,0.931506849,,,,,
3,60,nan,nan,60,60,60,60,,238.3235294,238.3235294,238.3235294,238.3235294,370,0.931506849,,,,,
3.5,50,nan,nan,50,50,50,50,,198.6029412,198.6029412,198.6029412,198.6029412,370,0.931506849,,,,,
4,nan,nan,nan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,nan,nan,nan,nan,370,nan,,,,,
4.5,71,nan,nan,71,71,71,71,,282.0161765,282.0161765,282.0161765,282.0161765,370,0.931506849,,,,,
5,3,-40,nan,-18.5,-18.5,nan,nan,,-73.48308824,-73.48308824,nan,nan,370,0.931506849,,186.0247549,186.0247549,218.4632353,218.4632353
5.5,28,nan,nan,28,28,28,28,,111.2176471,111.2176471,111.2176471,111.2176471,370,0.931506849,,,,,
6,nan,nan,2,2,2,2,2,,7.944117647,7.944117647,7.944117647,7.944117647,370,0.931506849,,,,,
6.5,91,nan,nan,91,91,91,91,,361.4573529,361.4573529,361.4573529,361.4573529,370,0.931506849,,,,,
7,81,81,nan,81,81,81,81,,321.7367647,321.7367647,321.7367647,321.7367647,370,0.931506849,,,,,
7.5,49,48,nan,48.5,48.5,48.5,48.5,,192.6448529,192.6448529,192.6448529,192.6448529,370,0.931506849,,,,,
8,59,nan,nan,59,59,59,59,,234.3514706,234.3514706,234.3514706,234.3514706,370,0.931506849,,,,,
8.5,76,73,nan,74.5,74.5,74.5,74.5,,295.9183824,295.9183824,295.9183824,295.9183824,370,0.931506849,,,,,
9,72,70,nan,71,71,71,71,,282.0161765,282.0161765,282.0161765,282.0161765,370,0.931506849,,,,,
9.5,87,nan,nan,87,87,87,87,,345.5691176,345.5691176,345.5691176,345.5691176,370,0.931506849,,,,,
10,77,nan,nan,77,77,77,77,,305.8485294,305.8485294,305.8485294,305.8485294,370,0.931506849,,245.8704412,245.8704412,245.8704412,245.8704412
10.5,76,nan,nan,76,76,76,76,,301.8764706,301.8764706,301.8764706,301.8764706,370,0.931506849,,,,,
11,80,nan,nan,80,80,80,80,,317.7647059,317.7647059,317.7647059,317.7647059,370,0.931506849,,,,,
11.5,77,nan,nan,77,77,77,77,,305.8485294,305.8485294,305.8485294,305.8485294,370,0.931506849,,,,,
12,80,nan,nan,80,80,80,80,,317.7647059,317.7647059,317.7647059,317.7647059,370,0.931506849,,,,,
12.5,79,72,nan,75.5,75.5,75.5,75.5,,299.8904412,299.8904412,299.8904412,299.8904412,370,0.931506849,,,,,
13,79,72,nan,75.5,75.5,75.5,75.5,,299.8904412,299.8904412,299.8904412,299.8904412,370,0.931506849,,,,,
13.5,86,nan,nan,86,86,86,86,,341.5970588,341.5970588,341.5970588,341.5970588,370,0.931506849,,,,,
14,82,nan,nan,82,82,82,82,,325.7088235,325.7088235,325.7088235,325.7088235,370,0.931506849,,,,,
14.5,89,91,nan,90,90,90,90,,357.4852941,357.4852941,357.4852941,357.4852941,370,0.931506849,,,,,
15,58,61,nan,59.5,59.5,59.5,59.5,,236.3375,236.3375,236.3375,236.3375,370,0.931506849,,310.4163971,310.4163971,310.4163971,310.4163971
15.5,40,40,nan,40,40,40,40,,158.8823529,158.8823529,158.8823529,158.8823529,370,0.931506849,,,,,
16,59,nan,nan,59,59,59,59,,234.3514706,234.3514706,234.3514706,234.3514706,370,0.931506849,,,,,
16.5,73,76,nan,74.5,74.5,74.5,74.5,,295.9183824,295.9183824,295.9183824,295.9183824,370,0.931506849,,,,,
17,75,nan,72,73.5,73.5,73.5,73.5,,286.0569164,286.0569164,286.0569164,286.0569164,370,0.950684932,,,,,
17.5,nan,nan,58,58,58,58,58,,225.7319885,225.7319885,225.7319885,225.7319885,370,0.950684932,,,,,
18,101,nan,nan,101,101,101,101,,393.0850144,393.0850144,393.0850144,393.0850144,370,0.950684932,,,,,
18.5,51,nan,53,52,52,52,52,,202.3804035,202.3804035,202.3804035,202.3804035,370,0.950684932,,,,,
19,91,nan,nan,91,91,91,91,,354.1657061,354.1657061,354.1657061,354.1657061,370,0.950684932,,,,,
19.5,64,nan,nan,64,64,64,64,,249.0835735,249.0835735,249.0835735,249.0835735,370,0.950684932,,,,,
20,78,-18,nan,30,30,30,30,,116.7579251,116.7579251,116.7579251,116.7579251,370,0.950684932,,251.6413733,251.6413733,251.6413733,251.6413733
