0;130;206
0.5;260;201
1;253;172.5
1.5;223;140
2;211;51
2.5;195;57
3;221;93.5
3.5;212;89.5
4;163;42
4.5;187;55.5
5;216;86
5.5;220;98.5
6;224;92
6.5;106;118
7;173;40
7.5;185;44
8;192;85
8.5;188;73
9;195;80
9.5;200;34
10;183;42
10.5;196;40.5
11;157;18
11.5;170;22
12;176;42
12.5;181;58.5
13;177;36
13.5;202;66.5
14;216;48
14.5;;84
15;217;105
15.5;223;126
16;181;38
16.5;231;53
17;188;39
17.5;241;177
18;237;134
18.5;248;149
19;139;105
19.5;165;44.5
20;219;84.5
20.5;221;79
21;180;42
21.5;213;100
22;184;80
22.5;222;117
23;223;132
23.5;247;156
24;275;202
24.5;241;165.5
25;147;165.5
25.5;194;119.5
26;159;92
26.5;159;92
27;228;147
27.5;103;182.5
28;171;124
28.5;116;64
29;100;191.5
29.5;222;174.5
30;156;106
30.5;209;178.5
31;129;185.5
31.5;186;130
32;198;116.5
32.5;229;182.5
33;210;152
33.5;207;161
34;;
34.5;177;139.5
35;205;154
35.5;185;132
36;;
36.5;187;138
37;163;112
37.5;150;94
38;160;108.5
38.5;161;92
39;220;168
39.5;174;117.5
40;171;98
40.5;;
41;186;137.5
41.5;163;114
42;217;144
42.5;247;201
43;203;151
43.5;271;220
44;259;197
44.5;205;157
45;244;178
45.5;198;133
46;244;171
46.5;254;217
47;204;160
47.5;208;144.5
48;229;195
48.5;244;192.5
49;;
49.5;195;143.5
50;166;128
