EST;Temperature;DewPoint;Humidity;Sea Level PressureIn;VisibilityMiles;WindSpeedMPH;CloudCover;Events;Population(Million);City(BD);Distance(Sea)
1/1/2016;38;23;52;30,03;10;8;5;Sunny;10;Dhaka;34
1/2/2016;36;18;46;30,02;10;7;3;Sunny;13;Brahmanbaria;54
1/3/2016;40;21;47;29,86;10;8;1;Rain;11;Chadpur;56
1/4/2016;25;9;44;30,05;10;9;3;Cloudy;15;Fathapur;76
1/5/2016;20;-3;41;30,57;10;5;0;Rain;8;Chandidar;53
1/6/2016;33;4;35;30,5;10;4;0;Sunny;23;Kasba;75
1/7/2016;39;11;33;30,28;10;2;3;Rain;27;Akhaura;75
1/8/2016;39;29;64;30,2;10;4;8;Wet;22;Barishal;34
1/9/2016;44;38;77;30,16;9;8;8;Rain;13;Mirpur;77
1/10/2016;50;46;71;29,59;4;;7;Rain;12;Chad ;45
1/11/2016;33;8;37;29,92;10;;1;Wet;11;Nouapara;23
1/12/2016;35;15;53;29,85;10;6;4;Rain;10;Mollabari;45
1/13/2016;26;4;42;29,94;10;10;0;Foggy;17;Joynagor;70
1/14/2016;30;12;47;29,95;10;5;7;Snow;19;Rajnagor;87
1/15/2016;43;31;62;29,82;9;5;2;Snow;13;Ganpur;77
1/16/2016;47;37;70;29,52;8;7;7;Rain;16;Rampur;85
1/17/2016;36;23;66;29,78;8;6;6;Fog-Snow;14;Dojonogor;46
1/18/2016;25;6;53;29,83;9;12;2;Snow;15;Baganbari;67
1/19/2016;22;3;42;30,03;10;11;1;Sunny;20;Nordda;34
1/20/2016;32;15;49;30,13;10;6;2;Sunny;11;Bashundhara;65
1/21/2016;31;11;45;30,15;10;6;1;Rain;17;Ghatpur;38
1/22/2016;26;6;41;30,21;9;;3;Snow;14;KalaChadpur;98
1/23/2016;26;21;78;29,77;1;16;8;Fog-Snow;17;Bimnbondor;49
1/24/2016;28;11;53;29,92;8;6;3;Snow;18;Nodiya;56
1/25/2016;34;18;54;30,25;10;3;2;Snow;13;Malibag;44
1/26/2016;43;29;56;30,03;10;7;2;Cloudy;15;Uttara;12
1/27/2016;41;22;45;30,03;10;7;3;Rain;11;Framgate;78
1/28/2016;37;20;51;29,9;10;5;1;Rain;19;Koustia;98
1/29/2016;36;21;50;29,58;10;8;4;Sunny;20;Fenni;45
1/30/2016;34;16;46;30,01;10;7;0;Cloudy;12;Kaijatoli;34
1/31/2016;46;28;52;29,9;10;5;0;Rain;10;Cumilla;28
